relation_id,fair_id,company_id,issue_type,recommended_action,details
,13,1885,merge_conflict,MANUAL_REVIEW,duplicate group 'roza hali' shares fair 13
,13,32472,merge_conflict,MANUAL_REVIEW,duplicate group 'roza hali' shares fair 13
,13,1886,merge_conflict,MANUAL_REVIEW,duplicate group 'sahan kardesler tekstil hali' shares fair 13
,13,23673,merge_conflict,MANUAL_REVIEW,duplicate group 'sahan kardesler tekstil hali' shares fair 13
,13,32474,merge_conflict,MANUAL_REVIEW,duplicate group 'sahan kardesler tekstil hali' shares fair 13
,13,1888,merge_conflict,MANUAL_REVIEW,duplicate group 'regnum hali ic dis' shares fair 13
,13,31482,merge_conflict,MANUAL_REVIEW,duplicate group 'regnum hali ic dis' shares fair 13
,13,1890,merge_conflict,MANUAL_REVIEW,duplicate group 'altuntas hali kilim' shares fair 13
,13,32439,merge_conflict,MANUAL_REVIEW,duplicate group 'altuntas hali kilim' shares fair 13
,13,1891,merge_conflict,MANUAL_REVIEW,duplicate group 'vital hali' shares fair 13
,13,32486,merge_conflict,MANUAL_REVIEW,duplicate group 'vital hali' shares fair 13
,13,1892,merge_conflict,MANUAL_REVIEW,duplicate group 'guven halicilik pazarlama' shares fair 13
,13,31517,merge_conflict,MANUAL_REVIEW,duplicate group 'guven halicilik pazarlama' shares fair 13
,13,1893,merge_conflict,MANUAL_REVIEW,duplicate group 'turkmen hali' shares fair 13
,13,32482,merge_conflict,MANUAL_REVIEW,duplicate group 'turkmen hali' shares fair 13
,13,1894,merge_conflict,MANUAL_REVIEW,duplicate group 'byd magazacilik tekstil paz' shares fair 13
,13,31426,merge_conflict,MANUAL_REVIEW,duplicate group 'byd magazacilik tekstil paz' shares fair 13
,13,1906,merge_conflict,MANUAL_REVIEW,duplicate group 'mina iplik hali teks' shares fair 13
,13,23651,merge_conflict,MANUAL_REVIEW,duplicate group 'mina iplik hali teks' shares fair 13
,13,1915,merge_conflict,MANUAL_REVIEW,duplicate group 'siela hali ic dis' shares fair 13
,13,23669,merge_conflict,MANUAL_REVIEW,duplicate group 'siela hali ic dis' shares fair 13
,13,1938,merge_conflict,MANUAL_REVIEW,duplicate group 'siteks tekstil' shares fair 13
,13,23671,merge_conflict,MANUAL_REVIEW,duplicate group 'siteks tekstil' shares fair 13
,13,1949,merge_conflict,MANUAL_REVIEW,duplicate group 'tibet hali pazarlama' shares fair 13
,13,23677,merge_conflict,MANUAL_REVIEW,duplicate group 'tibet hali pazarlama' shares fair 13
,13,1965,merge_conflict,MANUAL_REVIEW,duplicate group 'ilhan mensucat' shares fair 13
,13,23631,merge_conflict,MANUAL_REVIEW,duplicate group 'ilhan mensucat' shares fair 13
,29,4750,merge_conflict,MANUAL_REVIEW,duplicate group 'intesa global tekstil' shares fair 29
,29,4925,merge_conflict,MANUAL_REVIEW,duplicate group 'intesa global tekstil' shares fair 29
,13,1967,merge_conflict,MANUAL_REVIEW,duplicate group 'ipek mekik hali teks' shares fair 13
,13,23633,merge_conflict,MANUAL_REVIEW,duplicate group 'ipek mekik hali teks' shares fair 13
,13,1968,merge_conflict,MANUAL_REVIEW,duplicate group 'isik kadife testil' shares fair 13
,13,23630,merge_conflict,MANUAL_REVIEW,duplicate group 'isik kadife testil' shares fair 13
,13,1978,merge_conflict,MANUAL_REVIEW,duplicate group 'kilimista dokuma' shares fair 13
,13,23644,merge_conflict,MANUAL_REVIEW,duplicate group 'kilimista dokuma' shares fair 13
,13,1979,merge_conflict,MANUAL_REVIEW,duplicate group 'kirkit rugs hali kilim dis' shares fair 13
,13,23645,merge_conflict,MANUAL_REVIEW,duplicate group 'kirkit rugs hali kilim dis' shares fair 13
,13,1981,merge_conflict,MANUAL_REVIEW,duplicate group 'linea hali' shares fair 13
,13,32465,merge_conflict,MANUAL_REVIEW,duplicate group 'linea hali' shares fair 13
,13,1987,merge_conflict,MANUAL_REVIEW,duplicate group 'milat hali' shares fair 13
,13,23650,merge_conflict,MANUAL_REVIEW,duplicate group 'milat hali' shares fair 13
,13,1997,merge_conflict,MANUAL_REVIEW,duplicate group 'sinc hali tekstil sirketi' shares fair 13
,13,23670,merge_conflict,MANUAL_REVIEW,duplicate group 'sinc hali tekstil sirketi' shares fair 13
,13,2033,merge_conflict,MANUAL_REVIEW,duplicate group 'isbilir hali mobilya ev teks urun' shares fair 13
,13,23638,merge_conflict,MANUAL_REVIEW,duplicate group 'isbilir hali mobilya ev teks urun' shares fair 13
,15,2150,merge_conflict,MANUAL_REVIEW,duplicate group 'birsan kapi kilidi aksam paz ith ihr' shares fair 15
,15,32502,merge_conflict,MANUAL_REVIEW,duplicate group 'birsan kapi kilidi aksam paz ith ihr' shares fair 15
,16,2226,merge_conflict,MANUAL_REVIEW,duplicate group 'baki ahsap mobilya orman nak' shares fair 16
,16,32409,merge_conflict,MANUAL_REVIEW,duplicate group 'baki ahsap mobilya orman nak' shares fair 16
,17,2378,merge_conflict,MANUAL_REVIEW,duplicate group 'winland toroslular cam balkon yapi sist' shares fair 17
,17,32556,merge_conflict,MANUAL_REVIEW,duplicate group 'winland toroslular cam balkon yapi sist' shares fair 17
,18,2421,merge_conflict,MANUAL_REVIEW,duplicate group 'altin ates kimya' shares fair 18
,18,32742,merge_conflict,MANUAL_REVIEW,duplicate group 'altin ates kimya' shares fair 18
,100,25698,merge_conflict,MANUAL_REVIEW,duplicate group 'feydas makina muhendislik' shares fair 100
,100,31859,merge_conflict,MANUAL_REVIEW,duplicate group 'feydas makina muhendislik' shares fair 100
,18,2452,merge_conflict,MANUAL_REVIEW,duplicate group 'wittmann battenfeld plastik mak' shares fair 18
,18,31109,merge_conflict,MANUAL_REVIEW,duplicate group 'wittmann battenfeld plastik mak' shares fair 18
,18,2466,merge_conflict,MANUAL_REVIEW,duplicate group 'aksoy plastik makina' shares fair 18
,18,31113,merge_conflict,MANUAL_REVIEW,duplicate group 'aksoy plastik makina' shares fair 18
,18,2519,merge_conflict,MANUAL_REVIEW,duplicate group 'dioki petrokimya' shares fair 18
,18,23458,merge_conflict,MANUAL_REVIEW,duplicate group 'dioki petrokimya' shares fair 18
,18,2522,merge_conflict,MANUAL_REVIEW,duplicate group 'dizayn makina vida kovan iml' shares fair 18
,18,2909,merge_conflict,MANUAL_REVIEW,duplicate group 'dizayn makina vida kovan iml' shares fair 18
,18,2524,merge_conflict,MANUAL_REVIEW,duplicate group 'dms endustri ambalaj makine' shares fair 18
,18,2829,merge_conflict,MANUAL_REVIEW,duplicate group 'dms endustri ambalaj makine' shares fair 18
,18,2563,merge_conflict,MANUAL_REVIEW,duplicate group 'fiberflon teknik tekstil' shares fair 18
,18,23470,merge_conflict,MANUAL_REVIEW,duplicate group 'fiberflon teknik tekstil' shares fair 18
,18,2566,merge_conflict,MANUAL_REVIEW,duplicate group 'fit plastik ambalaj' shares fair 18
,18,2567,merge_conflict,MANUAL_REVIEW,duplicate group 'fit plastik ambalaj' shares fair 18
,18,2580,merge_conflict,MANUAL_REVIEW,duplicate group 'gent polimer kimya uretim' shares fair 18
,18,2581,merge_conflict,MANUAL_REVIEW,duplicate group 'gent polimer kimya uretim' shares fair 18
,18,2591,merge_conflict,MANUAL_REVIEW,duplicate group 'haitai pls enj mak ith ihr' shares fair 18
,18,31135,merge_conflict,MANUAL_REVIEW,duplicate group 'haitai pls enj mak ith ihr' shares fair 18
,100,26204,merge_conflict,MANUAL_REVIEW,duplicate group 'hastek plas tekn otomasyon sist paz' shares fair 100
,100,32840,merge_conflict,MANUAL_REVIEW,duplicate group 'hastek plas tekn otomasyon sist paz' shares fair 100
,18,2612,merge_conflict,MANUAL_REVIEW,duplicate group 'iza makina' shares fair 18
,18,2790,merge_conflict,MANUAL_REVIEW,duplicate group 'iza makina' shares fair 18
,18,2627,merge_conflict,MANUAL_REVIEW,duplicate group 'kimflor kimya' shares fair 18
,18,2628,merge_conflict,MANUAL_REVIEW,duplicate group 'kimflor kimya' shares fair 18
,18,2630,merge_conflict,MANUAL_REVIEW,duplicate group 'kimpas kimyevi mad paz' shares fair 18
,18,2801,merge_conflict,MANUAL_REVIEW,duplicate group 'kimpas kimyevi mad paz' shares fair 18
,18,2631,merge_conflict,MANUAL_REVIEW,duplicate group 'kimteks kimya tekstil urunleri' shares fair 18
,18,2805,merge_conflict,MANUAL_REVIEW,duplicate group 'kimteks kimya tekstil urunleri' shares fair 18
,18,2632,merge_conflict,MANUAL_REVIEW,duplicate group 'kimyager kimya' shares fair 18
,18,2633,merge_conflict,MANUAL_REVIEW,duplicate group 'kimyager kimya' shares fair 18
,18,2634,merge_conflict,MANUAL_REVIEW,duplicate group 'kiranda plastik kalip mak parc' shares fair 18
,18,2635,merge_conflict,MANUAL_REVIEW,duplicate group 'kiranda plastik kalip mak parc' shares fair 18
,18,2662,merge_conflict,MANUAL_REVIEW,duplicate group 'mikrons mikronize mineral endustriyel' shares fair 18
,18,2663,merge_conflict,MANUAL_REVIEW,duplicate group 'mikrons mikronize mineral endustriyel' shares fair 18
,18,2664,merge_conflict,MANUAL_REVIEW,duplicate group 'mikrosan makina kalip' shares fair 18
,18,2665,merge_conflict,MANUAL_REVIEW,duplicate group 'mikrosan makina kalip' shares fair 18
,18,2666,merge_conflict,MANUAL_REVIEW,duplicate group 'mine plastik end urn sert mad kimya' shares fair 18
