company_id,company_name,issue_type,recommended_action,details
11645,"WENZHOU B.R.T. IMPS&amp;EXPS CO., LTD",html_entity,NORMALIZE,html entity
11717,BFP COOLING PARTS CO.LTD,encoding_issue,MANUAL_REVIEW,encoding issue
11722,"LANGFANG HUIYU MOLD &amp; PLASTIC CO., LTD",html_entity,NORMALIZE,html entity
11802,BİRLİK CONTA &amp; SILCON GASKET,html_entity,NORMALIZE,html entity
11853,"NINGBO EBI BEARINGS &amp; AUTO PARTS INDUSTRY CO., LTD.",html_entity,NORMALIZE,html entity
11877,FAMCO &amp; FA-ME OTOMOTİV SAN.TİC.LTD.ŞTİ.,html_entity,NORMALIZE,html entity
11894,GAT GmbH &amp; Co. KG,html_entity,NORMALIZE,html entity
11925,"RUI&#039;AN IVOK AUTO PARTS CO., LTD.",html_entity,NORMALIZE,html entity
11984,MRS ELECTRONIC GMBH &amp; CO.KG,html_entity,NORMALIZE,html entity
12099,UYGUN SANAYİ SERVİS &amp; GARAJ EKİPMANLARI,html_entity,NORMALIZE,html entity
12134,CARTER&amp;CARTER HOLDING INTERNATIONAL LTD,html_entity,NORMALIZE,html entity
12150,KISTENMACHER AUTO + TECHNIK GMBH &amp; CO. KG,html_entity,NORMALIZE,html entity
12156,Koyuncuoğlu Oto Klima &amp; EG Makina,html_entity,NORMALIZE,html entity
12178,"GUANGDONG PUSTAR ADHESIVES&amp;SEALANTS CO.,LTD.",html_entity,NORMALIZE,html entity
12185,"NANJING CORNUCOPIA TECH.&amp;DEVELOPING CO.,LTD",html_entity,NORMALIZE,html entity
12219,MQ OILLESS BEARING &amp;  SHUNTIAN MACHINERY,html_entity,NORMALIZE,html entity
12226,"RUI&#039;AN SOLAR AUTOPARTS CO.,LTD",html_entity,NORMALIZE,html entity
12233,"QINGDAO QINGTE IMPORT&amp;EXPORT CO., LTD.",html_entity,NORMALIZE,html entity
12262,GHAURI TYRE &amp; TUBE (Pvt). LTD.,html_entity,NORMALIZE,html entity
12278,Emirates Key &amp; Diagnostic Tools,html_entity,NORMALIZE,html entity
12331,QINGHE YUANDONG RUBBER&amp;PLASTIC PRODUCTS FACTORY,html_entity,NORMALIZE,html entity
12353,"HEFEI HAO CHI IMP &amp; EXP CO.,LTD",html_entity,NORMALIZE,html entity
12355,NINGBO TUOPU IMP&amp;EXP.CORP,html_entity,NORMALIZE,html entity
12754,KOBOLD Ölçüm Araçları Limited Şirketi,encoding_issue,MANUAL_REVIEW,encoding issue
12765,MV Endüstriyel Ölçüm Cihazları Anonim Şirketi,encoding_issue,MANUAL_REVIEW,encoding issue
13753,B&amp;B DENTAL S.R.L.,html_entity,NORMALIZE,html entity
14145,RITTER IMPLANTS GMBH&amp;CO KG,html_entity,NORMALIZE,html entity
14264,ZHENGZHOU&ensp;HUAER ELECTRO-OPTİCS,html_entity,NORMALIZE,html entity
15345,N &amp; FS HANDMADE SHOES DESIGNER HOME FATİH ŞENİPEK,html_entity,NORMALIZE,html entity
15376,STAMATIOU ANTONIA (PRIVATE &#8211; PERSONAL),html_entity,NORMALIZE,html entity
15389,ZAKRAD PRODUKCJI OBUWIA &#8221;AGDA&#8221; EDWARD MOSKALA,html_entity,NORMALIZE,html entity
17796,TRMotor Güç Sistemleri A.Ş.,encoding_issue,MANUAL_REVIEW,encoding issue
21679,TSE - TÜRK STANDARDLARI ENSTITÜSÜ,encoding_issue,MANUAL_REVIEW,encoding issue
21716,CSM AJANS &amp; YAYINCILIK CÜNEYT HIÇDÖNMEZ,html_entity,NORMALIZE,html entity
21764,B&amp;G ETIKET AMBALAJ MAKINA VE MALZ. HIZMETLERI - BERKAY UÇAR,html_entity,NORMALIZE,html entity
21811,DOOSAN ELECTRONIC MACHINERY &amp; EQUIPMENT,html_entity,NORMALIZE,html entity
22312,"LIAONING ZHANHONGTU MACHINERY &amp; EQUIPMENT CO., LTD.",html_entity,NORMALIZE,html entity
23262,EMX MOTORLU TASITLAR SAN. TIC.&nbsp;A.S.,html_entity,NORMALIZE,html entity
23429,BAUSANO &amp; FIGLI S.P.A.,html_entity,NORMALIZE,html entity
23807,Cen&amp;Kav,html_entity,NORMALIZE,html entity
23863,G.E.T. Gasto &amp; Event GmbH,html_entity,NORMALIZE,html entity
23864,G.E.T. Gastro &amp; Event GmbH,html_entity,NORMALIZE,html entity
24230,DİMASSİ MASA &amp; SANDALYE,html_entity,NORMALIZE,html entity
24252,BM YATAK TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ / BED &amp; MORE,html_entity,NORMALIZE,html entity
24457,FALCON YATÇILIK SAN  VE TİC.A.Ş,encoding_issue,MANUAL_REVIEW,encoding issue
25160,RST Ölçü Kontrol Enstrümanlar,encoding_issue,MANUAL_REVIEW,encoding issue
25490,"HANGZHOU XINCHEN IMP.&amp; EXP. CO., LTD.",html_entity,NORMALIZE,html entity
25499,"HEBEI HONDE INDUSTRIAL TRADE IMP&amp;EXP CO., LTD.",html_entity,NORMALIZE,html entity
25705,CERTILOOP YEŞİL DÖNÜŞÜM SERTİFİKASYON HİZMETLERİ A.Ş,encoding_issue,MANUAL_REVIEW,encoding issue
25757,Metronik Ölçü Kontrol ve Termoeleman San. Ve Tic.,encoding_issue,MANUAL_REVIEW,encoding issue
25886,Jumo Ölçü Sist. Ve Otom. San. Ve Tic. Ltd. Şti.,encoding_issue,MANUAL_REVIEW,encoding issue
25897,Tesla Ölçü Kontrol Sistemleri ve Çevre Teknolojileri Ltd.,encoding_issue,MANUAL_REVIEW,encoding issue
25951,CHROME MASTER PASLANMAZ METAL  SAN. TİC. LTD. ŞTİ.,encoding_issue,MANUAL_REVIEW,encoding issue
26009,İDM  MEKATRONİK SAN. TİC. LTD. ŞTİ.,encoding_issue,MANUAL_REVIEW,encoding issue
26012,İNTERMET METAL VE  MAKİNA SAN. TİC. LTD. ŞTİ.,encoding_issue,MANUAL_REVIEW,encoding issue
26100,YİBER  ELEKTRONİK SAN. TİC. LTD. ŞTİ.,encoding_issue,MANUAL_REVIEW,encoding issue
26170,Global Seamless Tubes &amp; Pipes Pvt. Ltd.,html_entity,NORMALIZE,html entity
26175,"Jiangsu Listrong Mechanical &amp; Electrical Co.,Ltd ",html_entity,NORMALIZE,html entity
26180,"TAIYUAN HUAXINCHENG M&amp;E EQUIPMENT CO.,LTD",html_entity,NORMALIZE,html entity
26377,JP ENDÜSTRIYEL MUTFAK MAKINA VE EKIPMANLARI SAN.&#xA;TIC.LTD.STI.,html_entity,NORMALIZE,html entity
26463,ÖZMET A.Ş. (Öztiryakiler Madeni E&#x15F;ya San. ve Tic. A.Ş),html_entity,NORMALIZE,html entity
26586,"TAIZHOU HORIZON NEW MATERIALS CO., LTD.",encoding_issue,MANUAL_REVIEW,encoding issue
26809,"GUANGDONG ZONCENWAY ELECTRIC TECHNOLOGY CO.,LTD.",encoding_issue,MANUAL_REVIEW,encoding issue
26926,"ZHONGSHAN DIPPERS ELECTRIC  CO., LTD.",encoding_issue,MANUAL_REVIEW,encoding issue
26963,"ZHEJIANG HUAYI SUPPLY CHAIN MANAGEMENT CO,LTD",encoding_issue,MANUAL_REVIEW,encoding issue
26983,"ZHEJIANG DAWEI ELECTRONIC CO., LTD.",encoding_issue,MANUAL_REVIEW,encoding issue
27038,"CHONGQING SHIELD GEAR &amp; TRANSMISSION CO.,LTD",html_entity,NORMALIZE,html entity
