fair_id,fair_name,start_fair,end_fair,fair_area,fair_website,email_subject,issue_type,recommended_action,details
104,IDEF,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.idef.com.tr/fuar-kunyesi,"IDEF, Uluslararası Savunma Sanayii Fuarı",future_end_fair,NULLIFY,future end fair
104,IDEF,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.idef.com.tr/fuar-kunyesi,"IDEF, Uluslararası Savunma Sanayii Fuarı",email_subject_present,KEEP,email subject present
105,Asansör İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.asansoristanbul.com,Asansör İstanbul Fuarı,future_start_fair,NULLIFY,future start fair
105,Asansör İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.asansoristanbul.com,Asansör İstanbul Fuarı,future_end_fair,NULLIFY,future end fair
105,Asansör İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://www.asansoristanbul.com,Asansör İstanbul Fuarı,email_subject_present,KEEP,email subject present
106,Petroleum İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://petroleumistanbul.com.tr/petroleum-istanbul/,Petroleum İstanbul Fuarı,future_start_fair,NULLIFY,future start fair
106,Petroleum İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://petroleumistanbul.com.tr/petroleum-istanbul/,Petroleum İstanbul Fuarı,future_end_fair,NULLIFY,future end fair
106,Petroleum İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,https://petroleumistanbul.com.tr/petroleum-istanbul/,Petroleum İstanbul Fuarı,email_subject_present,KEEP,email subject present
107,PAPER EURASIA,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.papereurasia.com/fuar-kunyesi,Paper Eurasia Fuarı,future_start_fair,NULLIFY,future start fair
107,PAPER EURASIA,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.papereurasia.com/fuar-kunyesi,Paper Eurasia Fuarı,future_end_fair,NULLIFY,future end fair
107,PAPER EURASIA,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.papereurasia.com/fuar-kunyesi,Paper Eurasia Fuarı,email_subject_present,KEEP,email subject present
108,Eurasia Rail,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://eurasiarail.eu/tr/katilimci-listesirn,Eurasia Rail Fuarı,future_start_fair,NULLIFY,future start fair
108,Eurasia Rail,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://eurasiarail.eu/tr/katilimci-listesirn,Eurasia Rail Fuarı,future_end_fair,NULLIFY,future end fair
