fair_id,fair_name,start_fair,end_fair,fair_area,fair_website,email_subject,issue_type,recommended_action,details
64,İDMA İstanbul Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.idma.com.tr/exhibitions-info/,İDMA İstanbul Fuarı,future_end_fair,NULLIFY,future end fair
64,İDMA İstanbul Fuarı,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.idma.com.tr/exhibitions-info/,İDMA İstanbul Fuarı,email_subject_present,KEEP,email subject present
65,Paintistanbul & TURKCOAT ,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.turkcoat-paintistanbul.com/fuar-hakkinda/,Paintistanbul & TURKCOAT  Fuarı,future_start_fair,NULLIFY,future start fair
65,Paintistanbul & TURKCOAT ,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.turkcoat-paintistanbul.com/fuar-hakkinda/,Paintistanbul & TURKCOAT  Fuarı,future_end_fair,NULLIFY,future end fair
65,Paintistanbul & TURKCOAT ,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.turkcoat-paintistanbul.com/fuar-hakkinda/,Paintistanbul & TURKCOAT  Fuarı,email_subject_present,KEEP,email subject present
66,IDEX İSTANBUL,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://idex.org.tr/fuar-hakkinda/fuar-kunyesi,IDEX İSTANBUL,future_start_fair,NULLIFY,future start fair
66,IDEX İSTANBUL,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://idex.org.tr/fuar-hakkinda/fuar-kunyesi,IDEX İSTANBUL,future_end_fair,NULLIFY,future end fair
66,IDEX İSTANBUL,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://idex.org.tr/fuar-hakkinda/fuar-kunyesi,IDEX İSTANBUL,email_subject_present,KEEP,email subject present
67,WIN EURASIA,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://platform.win-eurasia.com/participants?new,WIN EURASIA - World of Industry Fuarı,future_start_fair,NULLIFY,future start fair
67,WIN EURASIA,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://platform.win-eurasia.com/participants?new,WIN EURASIA - World of Industry Fuarı,future_end_fair,NULLIFY,future end fair
67,WIN EURASIA,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://platform.win-eurasia.com/participants?new,WIN EURASIA - World of Industry Fuarı,email_subject_present,KEEP,email subject present
68,Beauty Eurasia,2026-09-02 00:00:00,2026-09-04 00:00:00,IFM (CNR),https://beautyeurasia.com/tr/katilimci-listesi,Beauty Eurasia Fuarı,email_subject_present,KEEP,email subject present
69,F İSTANBUL,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://platform.idos.events/exhibition/exhibitorList?fuarId=57,F İSTANBUL,future_start_fair,NULLIFY,future start fair
69,F İSTANBUL,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://platform.idos.events/exhibition/exhibitorList?fuarId=57,F İSTANBUL,future_end_fair,NULLIFY,future end fair
69,F İSTANBUL,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://platform.idos.events/exhibition/exhibitorList?fuarId=57,F İSTANBUL,email_subject_present,KEEP,email subject present
70,Promosyon Show,2025-09-10 00:00:00,2025-09-13 00:00:00,IFM (CNR),https://www.promosyonshow.com/anasayfa,Promosyon Show Fuarı,email_subject_present,KEEP,email subject present
72,İbia Expo,2025-09-24 00:00:00,2025-09-27 00:00:00,IFM (CNR),https://ibiaexpo.com/katilimci-listesi,İbia Expo - YATAK YAN SANAYİ VE TEKNOLOJİLERİ FUARI,email_subject_present,KEEP,email subject present
73,Maktek Avrasya,2026-09-28 00:00:00,2026-10-01 00:00:00,TÜYAP,https://maktekfuari.com/fuar-kunyesi,Maktek Avrasya Fuarı,email_subject_present,KEEP,email subject present
74,İntermob,2025-09-25 00:00:00,2025-09-28 00:00:00,TÜYAP,https://www.intermobistanbul.com/fuar-kunyesi,İntermob Fuarı,email_subject_present,KEEP,email subject present
75,World Food İstanbul ,2025-09-02 00:00:00,2025-09-05 00:00:00,TÜYAP,https://worldfood-istanbul.com/tr/worldfood-istanbul-hakkinda,WorldFood İstanbul  Fuarı,email_subject_present,KEEP,email subject present
76,Ankiros,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.ankiros.com,Ankiros Fuarı,future_start_fair,NULLIFY,future start fair
76,Ankiros,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.ankiros.com,Ankiros Fuarı,future_end_fair,NULLIFY,future end fair
76,Ankiros,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.ankiros.com,Ankiros Fuarı,email_subject_present,KEEP,email subject present
77,Zuchex,2025-09-11 00:00:00,2025-09-14 00:00:00,TÜYAP,https://www.zuchex.com/2024-katilimci-listesi.html,Zuchex Fuarı,email_subject_present,KEEP,email subject present
78,Kalite '25,2025-09-17 00:00:00,2025-09-20 00:00:00,IFM (CNR),https://kalitefuari.com/kalite-24-katilimci-listesi/,Kalite '25 Fuarı,email_subject_present,KEEP,email subject present
79,PetZoo Eurasia,2025-10-08 00:00:00,2025-10-11 00:00:00,IFM (CNR),https://petfuari.com/katilimci-listesi?year=2023,PetZoo Eurasia Fuarı,email_subject_present,KEEP,email subject present
80,Saha Expo,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.sahaexpo.com/tr/katilimci-listesi - https://www.sahaistanbul.org.tr/kume-firmalari/27,Saha Expo Fuarı,future_start_fair,NULLIFY,future start fair
80,Saha Expo,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.sahaexpo.com/tr/katilimci-listesi - https://www.sahaistanbul.org.tr/kume-firmalari/27,Saha Expo Fuarı,future_end_fair,NULLIFY,future end fair
80,Saha Expo,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.sahaexpo.com/tr/katilimci-listesi - https://www.sahaistanbul.org.tr/kume-firmalari/27,Saha Expo Fuarı,invalid_fair_website,MANUAL_REVIEW,invalid fair website
80,Saha Expo,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.sahaexpo.com/tr/katilimci-listesi - https://www.sahaistanbul.org.tr/kume-firmalari/27,Saha Expo Fuarı,email_subject_present,KEEP,email subject present
81,WoodTech,2025-10-11 00:00:00,2025-10-15 00:00:00,TÜYAP,https://woodtechistanbul.com/fuar-kunyesi,WoodTech İstanbul  Fuarı,email_subject_present,KEEP,email subject present
82,Avrasya Ambalaj,2025-10-22 00:00:00,2025-10-25 00:00:00,TÜYAP,Food-Tech Eurasia ile aynı liste https://www.packagingfair.com/katilimci-listesi?page=77,Avrasya Ambalaj Fuarı,invalid_fair_website,MANUAL_REVIEW,invalid fair website
82,Avrasya Ambalaj,2025-10-22 00:00:00,2025-10-25 00:00:00,TÜYAP,Food-Tech Eurasia ile aynı liste https://www.packagingfair.com/katilimci-listesi?page=77,Avrasya Ambalaj Fuarı,email_subject_present,KEEP,email subject present
83,Food-Tech Eurasia,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,Avrasya Ambalaj ile aynı liste https://www.foodtecheurasia.com/fuar-kunyesi,Food-Tech Eurasia Fuarı,future_start_fair,NULLIFY,future start fair
83,Food-Tech Eurasia,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,Avrasya Ambalaj ile aynı liste https://www.foodtecheurasia.com/fuar-kunyesi,Food-Tech Eurasia Fuarı,future_end_fair,NULLIFY,future end fair
83,Food-Tech Eurasia,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,Avrasya Ambalaj ile aynı liste https://www.foodtecheurasia.com/fuar-kunyesi,Food-Tech Eurasia Fuarı,invalid_fair_website,MANUAL_REVIEW,invalid fair website
83,Food-Tech Eurasia,2126-01-01 00:00:00,2126-01-01 00:00:00,TÜYAP,Avrasya Ambalaj ile aynı liste https://www.foodtecheurasia.com/fuar-kunyesi,Food-Tech Eurasia Fuarı,email_subject_present,KEEP,email subject present
84,Sign İstanbul,2025-10-02 00:00:00,2025-10-05 00:00:00,TÜYAP,PromoGift ile aynı liste https://www.signistanbul.com,Sign İstanbul Fuarı,invalid_fair_website,MANUAL_REVIEW,invalid fair website
84,Sign İstanbul,2025-10-02 00:00:00,2025-10-05 00:00:00,TÜYAP,PromoGift ile aynı liste https://www.signistanbul.com,Sign İstanbul Fuarı,email_subject_present,KEEP,email subject present
85,Promo Gift İstanbul,2025-10-02 00:00:00,2025-10-05 00:00:00,TÜYAP,Sign İstanbul ile aynı liste https://www.promogiftistanbul.com,Promo Gift İstanbul Fuarı,invalid_fair_website,MANUAL_REVIEW,invalid fair website
85,Promo Gift İstanbul,2025-10-02 00:00:00,2025-10-05 00:00:00,TÜYAP,Sign İstanbul ile aynı liste https://www.promogiftistanbul.com,Promo Gift İstanbul Fuarı,email_subject_present,KEEP,email subject present
86,GROWTECH ANTALYA,2126-01-01 00:00:00,2126-01-01 00:00:00,ANFAŞ,https://www.growtech.com.tr/tr/genel-bakis/contact-team.html,GROWTECH. ANTALYA,future_start_fair,NULLIFY,future start fair
86,GROWTECH ANTALYA,2126-01-01 00:00:00,2126-01-01 00:00:00,ANFAŞ,https://www.growtech.com.tr/tr/genel-bakis/contact-team.html,GROWTECH. ANTALYA,future_end_fair,NULLIFY,future end fair
86,GROWTECH ANTALYA,2126-01-01 00:00:00,2126-01-01 00:00:00,ANFAŞ,https://www.growtech.com.tr/tr/genel-bakis/contact-team.html,GROWTECH. ANTALYA,email_subject_present,KEEP,email subject present
87,Peyzaj İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.peyzajistanbulfuari.com/portfolio-item/katilimci-listesi/,Peyzaj İstanbul Fuarı,future_start_fair,NULLIFY,future start fair
87,Peyzaj İstanbul,2126-01-01 00:00:00,2126-01-01 00:00:00,IFM (CNR),https://www.peyzajistanbulfuari.com/portfolio-item/katilimci-listesi/,Peyzaj İstanbul Fuarı,future_end_fair,NULLIFY,future end fair
